Judul,Lokasi,Lokasi_Clean,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Deskripsi_Clean,Image_Link,Property_Link
Rumah Kost Jogja Letak Strategis Belakang Kampus Uii,"Ngaglik, Sleman",ngaglik sleman,118000000,1,1,1,30,22,0.027374302,0,0,0,0.039130435,0.090909091,rumah kost jogja letak strategis belakang kampus uii,fasilitas lengkap kolam renang gym,https://picture.rumah123.com/r123-images/720x420-crop/customer/2082437/3400b1994d82a34cfa88d9f31d6b5739.jpg,https://www.rumah123.com/properti/sleman/hos18223715/
Dijual Rumah 1 Lantai  Strategis Cluster Dekat Kampus UII Yogyakarta,"Kaliurang, Yogyakarta",kaliurang yogyakarta,756000000,2,1,1,84,50,0.205586592,0.111111111,0,0,0.273913043,0.224880383,jual rumah 1 lantai strategis cluster dekat kampus uii yogyakarta,jual rumah 1 lantai strategis cluster dekat kampus uii yogyakarta lokasi jl kaliurang km 13 yogyakarta spesifikasi luas tanah 84 luas bangun 50 kamar tidur 2 kamar mandi 1 ruang keluarga ruang makan dapur carport 2 mobil taman harga jual mulai rp 756 jt an,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892507/2024-07-28-05-11-05-b65c636e-604e-405e-a30e-a98bdbd5a82a.jpg,https://www.rumah123.com/properti/yogyakarta/hos17709681/
RUMAH MEWAH 2 LANTAI UNIT POJOK DI DEKAT AMPLAZ DALAM RINGROAD JANTI  CATUR TUNGGAL DEPOK SLEMAN,"Caturtunggal, Sleman",caturtunggal sleman,1650000000,3,3,2,150,139,0.455307263,0.222222222,0.2,1,0.560869565,0.650717703,rumah mewah 2 lantai unit pojok dekat amplaz ringroad janti catur tunggal depok sleman,rumah 2 lantai unit pojok dekat amplaz ringroad janti caturtunggal depok sleman town house ambarukmo harga 1650000xxx nego legalitas shm imb maghnet kawasan dekat kampus uin ugm uny atmajaya dekat pusat bisnis jogja dekat amplaz mall lippo plaza dekat spbu dekat rs siloam harjolukito dekat bagai bank spesifikasi luas tanah 139 luas bangun 150 3 kamar 3 kamar mandi 2 waterheater ruang tamu ruang keluarga dapur listrik 2200 watt air sumur carpot 2 mobil hadap utara yukk monggo yg mau survey bs damping senang hati info detail ayanti sahabat properti wa 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/2024-03-25-02-41-48-13673696-605d-42e2-a18c-d7ed0d2beac5.jpg,https://www.rumah123.com/properti/sleman/hos16759274/
Rumah Paling Murah Tepi Jalan Utama Bawuran,"Bantul, Yogyakarta",bantul yogyakarta,250000000,2,1,1,60,30,0.06424581,0.111111111,0,0,0.169565217,0.129186603,rumah paling murah tepi jalan utama bawuran,grahatama hills lokasi jl bawuran ii bawuran kec pleret kabupaten bantul daerah istimewa yogyakarta 55791 hubung kaleb wastu property jual rumah minimal siap bangun budget 200 juta pleret bantul rumah murah siap kpr ada komplek rumah akses mudah 4 menit smpn 3 banguntapan selling point 1 menit 850 m pasar desa ngablak 3 menit 14 km kantor desa bawuran 4 menit 18 km smp n 3 banguntapan 6 menit 31 km lapang jambidan 7 menit 35 km rs rajawali citra 8 menit 39 km pasar pleret 9 menit 41 km polsek pleret,https://picture.rumah123.com/r123-images/720x420-crop/customer/2075597/e653c64ff9c059ca7a9b25f764675af8.jpg,https://www.rumah123.com/properti/yogyakarta/hos18223378/
Termurah Rumah Baru Minimalis di Sleman Dekat Rsud Prambanan,"Prambanan, Sleman",prambanan sleman,350000000,2,1,1,75,45,0.092178771,0.111111111,0,0,0.234782609,0.200956938,murah rumah baru minimal sleman dekat rsud prambanan,kode core1180 magnet kawasan dekat rsud pramabanan dekat sekolah dekat masjid dekat pasar tradisional dekat tebing breksi,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/4adc00ce49de93700ed7db045dd50b8e.jpg,https://www.rumah123.com/properti/sleman/hos18217086/
Rumah Dijual Gamping Sleman Ada Kolam Renang Pribadinya,"Gamping, Sleman",gamping sleman,2780000000,4,3,2,213,135,0.770949721,0.333333333,0.2,1,0.834782609,0.631578947,rumah jual gamping sleman kolam renang pribadi,rumah jual limited 3 unit akhir,https://picture.rumah123.com/r123-images/720x420-crop/customer/1686363/5892b367d06763dcbd493d15d49c7a0f.png,https://www.rumah123.com/properti/sleman/hos18190010/
Rumah Canggih Smarthome System Harga Terjangkau Dekat Sleman,"Maguwoharjo, Yogyakarta",maguwoharjo yogyakarta,685000000,2,1,1,90,45,0.18575419,0.111111111,0,0,0.3,0.200956938,rumah canggih smarthome system harga jangkau dekat sleman,rumah canggih smarthome system harga jangkau dekat sleman skema bayar cash keras cash tempo cash progress kpr spek luas tanah 90 m2 luas bangun 45 m2 kamar tidur 2 kamar mandi 1 ruang tamu ruang keluarga dapur carport taman lokasi strategis 3 menit candi prambanan 1 menit candi plaosan 3 menit tuju stasiun prambanan terminal prambanan lokasi samping jl raya manisrenggoprambanan 2 menit jl utama jogja solo 20 menit jogja kota 20 menit tuju klaten kota harga 685 juta,https://picture.rumah123.com/r123-images/720x420-crop/customer/1347322/13a3b307581ad7fc8516188db78f1d73.jpg,https://www.rumah123.com/properti/yogyakarta/hos18217070/
Perumahan Mewah Premium Greenland Giwangan Investasi Yogyakarta,"Bantul, Yogyakarta",bantul yogyakarta,900000000,3,2,1,89,80,0.245810056,0.222222222,0.1,0,0.295652174,0.368421053,rumah mewah premium greenland giwang investasi yogyakarta,siap huni rumi 082136663xxx pilih investasi property baik giwang bantul dukung fasilitas exclusive royal main gate clubhouse 24 jam security huni nyaman mewah giwang sistem bayar cash keras diskon hingga 10 cash tahap hingga 12x kpr dp 5 cicil 5 bulan fasilitas umum 1 gate system security 24 jam akses jalan kawasan 910 m pavling blok k225 cctv 24 jam club house swimming pool musholla pagar keliling kawasan jaring kabel internet optik free desain sesuai butuh tanpa rubah tampak depan,https://pic.rumah123.com/r123/720x420-crop/house/ho10/10104274/original/hos10104274-rumah-di-jual-di-cirebon-kota-di-cirebon-16503433717012.jpg,https://www.rumah123.com/properti/yogyakarta/hos10104274/
Rumah Second Siap Huni Dekat Dengan Kanpus Umy,"Pajangan, Bantul",pajangan bantul,450000000,2,1,1,81,40,0.120111732,0.111111111,0,0,0.260869565,0.177033493,rumah second siap huni dekat kanpus umy,rumah second siap huni dekat kanpus umy second 450jt lokasi pajang bantul yogyakarta hubung nando wastu property rumah secondary kondisi sangat bagus ini huni milik siap pindah kapan begitu beli spesifikasi type 4081 2 kamar tidur 1 kamar mandi dapur taman carport canopi ac 2 unit listrik 3500 watt pdam shm imb selling point dalam komplek rumah 16 menit pasar seni gabus 13 menit umy 15 menit isi 29 menit malioboro 12 menit alun alun paseban informasi lebih lanjut nando wastu property watelp 08990580xxx rumah second siap huni dekat kanpus umy,https://picture.rumah123.com/r123-images/720x420-crop/customer/2075567/0192cc280445f9e67ad1f5d93d860f03.jpg,https://www.rumah123.com/properti/bantul/hos18223199/
Rumah Mewah Bergaya Eropa Style Di Timur Candi Prambanan,"Kalasan, Sleman",kalasan sleman,685000000,2,1,1,90,45,0.18575419,0.111111111,0,0,0.3,0.200956938,rumah mewah gaya eropa style timur candi prambanan,rumah mewah gaya eropa style timur candi prambanan skema bayar cash keras cash tempo cash progress kpr spek luas tanah 90 m2 luas bangun 45 m2 kamar tidur 2 kamar mandi 1 ruang tamu ruang keluarga dapur carport taman lokasi strategis 3 menit candi prambanan 1 menit candi plaosan 3 menit tuju stasiun prambanan terminal prambanan lokasi samping jl raya manisrenggoprambanan 2 menit jl utama jogja solo 20 menit jogja kota 20 menit tuju klaten kota harga 685 juta,https://picture.rumah123.com/r123-images/720x420-crop/customer/2048397/aab3abf50cf07ab2bf1d7d063296daa9.jpg,https://www.rumah123.com/properti/sleman/hos18203639/
