Judul,Lokasi,Lokasi_Clean,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Deskripsi_Clean,Image_Link,Property_Link
Perumahan Baru Mewah Patra Siap Huni Bisa Angsuran 79x Flatt,"Ngaglik, Sleman",ngaglik sleman,2400000000,2,3,1,126,100,0.664804469,0.111111111,0.2,0,0.456521739,0.464114833,rumah baru mewah patra siap huni angsur 79x flatt,mau punya rumah mewah area sejuk strategis yogyakarta jangan lewat sempat dapat tawar tarik promo special patra residence palagan lokasi rumah ada mang jalan utama jl palagan tentara ajar km 10 ngaglik sleman yogyakarta kawasan luas kurang lebih 16287m2 total 62 unit yg bagi 2 type type 100 180 kemas konsep rumah modern home adapun fasilitas kawasan rumah tiap unit type 180 lengkap fasilitas swimming poll pribadi jalan utama lebar 9 m manja huni kendara jaring listrik bawah tanah buat kawasan lebih premium di banding lokasi lain awas aman 24 jam lengkap cctv area rumah info lebih lanjut hubung 082340837xxx ema,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893426/aeef146645fe83ccdb74915218d529e6.jpg,https://www.rumah123.com/properti/sleman/hos16837965/
Dijual Rumah Dekat Kampus Stie Ykpn Harga Rendah,"Caturtunggal, Sleman",caturtunggal sleman,1700000000,3,3,2,200,130,0.469273743,0.222222222,0.2,1,0.77826087,0.607655502,jual rumah dekat kampus stie ykpn harga rendah,rumah dekat kampus stie ykpn catur tunggal depok sleman jogja punya luas tanah 134 m2 lebar depan 8 meter panjang 16 meter luas bangun 200 m2 bangun 2 lantai hadap selatan row jalan 5 meter legalitas shm imb pbb rumah ada 3 kamar tidur 2 kamar mandi carpot 1 mobil rp 17 m f240004,https://picture.rumah123.com/r123-images/720x420-crop/customer/1997127/658e8f991f1274653b2d83c091227bbe.jpg,https://www.rumah123.com/properti/sleman/hos18654136/
Dekat Pusat Kota Jogja Rumah Mewah 2 Lantai Lux Siap Huni Dalam Perumahan One Gate System Di Jalan Godean Km 7 Sidoarum Godean,"Godean, Sleman",godean sleman,1630000000,3,3,1,108,100,0.44972067,0.222222222,0.2,0,0.37826087,0.464114833,dekat pusat kota jogja rumah mewah 2 lantai lux siap huni rumah one gate system jalan godean km 7 sidoarum godean,rumah mewah 2 lantai lux siap huni rumah one gate system jalan godean km 7 sidoarum harga 1635 milyar nego legalitas shgb pt pbg dekat tugu jogja akses mudah lingkung rapi kavling 11a bonus kitchen set mini bar maghnet kawasan dekat pusat kota jogja dekat kampus unu dekat kampus unjaya dekat kampus umybsi dekat kampus aisyiah dekat pku gamping spbu spesifikasi luas tanah 100 luas bangun 108 2 lantai 3 kamar tidur 3 kamar mandi ruang tamu ruang keluarga ruang makan dapur cantik tempat cuci jemur sumur bor listrik pln 2200 watt taman hijau carport 2 mobil lingkung aman nyaman asri one gate security akses jalan lebar 6m yukk monggo2 yg mau survey bs damping senang hati info detail ayanti 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/30e185cf139b8958d81b1472f940fde7.jpg,https://www.rumah123.com/properti/sleman/hos18658829/
Rumah Baru Cantik Mewah  Harga Super Murah Di Dalam Cluster 10 Unit Kadisoka Purwomartani Sleman Dekat Pemancingan,"Purwomartani, Sleman",purwomartani sleman,765000000,3,2,1,106,80,0.208100559,0.222222222,0.1,0,0.369565217,0.368421053,rumah baru cantik mewah harga super murah dalam cluster 10 unit kadisoka purwomartani sleman dekat pancing,open launching 10 unit cluster kadisoka asri rumah baru cantik mewah harga murah dalam cluster kadisoka purwomartani sleman dekat pancing akses mudah strategis jalan paving 5 meter tata ruang nyaman lega free pagar kanopi teral taman depan blkg harga 775 juta nego legalitas shm pbg maghnet kawasan dekat spbu kadisoka dekat pancing dekat mc swalayan dekat pusat kuliner dekat pusat bisnis tajem dekat kampus unriyo spesifikasi type 80 luas tanah 106 3 kamar tidur luas 2 kamar mandi ruang tamu ruang keluarga dapur luas listrik 1300 watt air sumur bor carport yukk monggo yg mau survey bs damping senang hati info ayanti 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/d05c458c62521eda638eeb91ecf77d34.jpg,https://www.rumah123.com/properti/sleman/hos18228650/
Promo Bulan Desemberr 350 Juta Saja Rumah Cantik Mewah  Harga Murah Dalam Perumahan Fasco Village Bangunjiwo Kasihan Bantul,"Kasihan, Bantul",kasihan bantul,350000000,2,1,1,80,36,0.092178771,0.111111111,0,0,0.256521739,0.157894737,promo bulan desemberr 350 juta rumah cantik mewah harga murah rumah fasco village bangunjiwo kasihan bantul,promo 400 juta ptomo 400 juta ptomo 400 juta rumah cantik mewah harga murah rumah fasco village bangunjiwo bantul proses bangun rumah security 24 jam one gate system harga rp 375000xxx nego promo bulan november 375 juta legalitas shm pbg cash kpr cash tahap yukk monggo yg mau survey bs damping senang hati info detail ayanti sahabat properti wa 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/2024-03-30-15-50-31-dcbe0667-766b-4cc6-b884-f32b4396419d.jpg,https://www.rumah123.com/properti/bantul/hos16805466/
Rumah Mewah Modern 2 Lantai Kontemporer Istimewa Dengan Harga Murah Di Dekat Jogjabay Maguwoharjo,"Ngemplak, Sleman",ngemplak sleman,1450000000,4,4,2,170,116,0.399441341,0.333333333,0.3,1,0.647826087,0.540669856,rumah mewah modern 2 lantai kontemporer istimewa harga murah dekat jogjabay maguwoharjo,rumah mewah modern 2 lantai kontemporer istimewa harga murah dekat jogjabay maguwoharjo harga 145 milyar nego legalitas shm pbg akses mudah akses lebar simpang tata ruang nyaman balkon luas maghnet kawasan dekat stadion maguwo dekat jogjabay dekat rs uad dekat budi mulia unriyo dekat sd model dekat spbu tajem spesifikasi type 170 luas tanah 116 4 kamarvtidur 4 kamar mandi ruang tamu ruang keluarga ruang makan dapur luas taman listrik 2200 watt air sumur bor carport 2 mobil balkon luas hadap timur yukk monggo yg mau survey bs damping senang hati info detail ayanti 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/2aeec3776fb9f5bbd64320faf305a0af.jpg,https://www.rumah123.com/properti/sleman/hos18706349/
Rumah 2 Lantai Bagus Furnished SHM di Jalan Imogiri Barat Bantul,"Sewon, Bantul",sewon bantul,2500000000,4,2,2,168,112,0.69273743,0.333333333,0.1,1,0.639130435,0.5215311,rumah 2 lantai bagus furnished shm jalan imogiri barat bantul,rumah siap huni baru renovasi fully furnished rumah rumah pinang merah 2 won bantul posisi komplek pinggir jalan raya gak masukmasuk kampung sangat dekat ringroad akses mudah saja jual lengkap furniture meja makan kursi meja tamu 3 kasur lantai atas kitchen set kulkas dispenser 4 unit ac water heater mesin cuci tempat cuci jemur lantai atas pasang wifi lantai atas bawah harga furniture 2350000000 nego segera agenda cek lokasi sama,https://picture.rumah123.com/r123-images/720x420-crop/customer/2071437/37b2d7a52732106e74f7d24830a842b2.jpg,https://www.rumah123.com/properti/bantul/hos18621220/
Minimalis Modern Cocok Untuk Gaya Hidup Praktis Dan Stylish,"Sedayu, Bantul",sedayu bantul,710000000,2,1,1,72,50,0.19273743,0.111111111,0,0,0.22173913,0.224880383,minimal modern cocok gaya hidup praktis stylish,kode stw agam fasilitas dalam nya one gate system security 24 jam cctcv tembok keliling akses jalan 6 meter taman buka children playground magnet kawasan upa 2 menit waterpark ciputra 8 menit rs pku gamping 10 menit kampus umy gamping 13 menit pasar godean 20 menit jogja city mall 45 menit bandara yia jangan takut hubung core property consultant alam lebih 6 tahun jadi partner dalam cari huni baik jogja hubung untuk info detail pilih properti lain,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/694095d0f08cf4f05facc03326dfafd7.jpg,https://www.rumah123.com/properti/bantul/hos18686918/
Rumah Siap Huni Fullfurnish Dalam Perumahan Dekat Umy Yogyakarta,"Wirobrajan, Yogyakarta",wirobrajan yogyakarta,378000000,2,1,1,71,36,0.1,0.111111111,0,0,0.217391304,0.157894737,rumah siap huni fullfurnish rumah dekat umy yogyakarta,rumah siap huni gaya jepang 300 juta jogja barat full furnished estetik rumah gaya jepang jogja huni nyaman tenang nuansa jepang milik rumah nuansa jepang harus jauhjauh negeri sakura temu nyaman tenang huni konsep jepang modern jogja cocok anda damba huni elegan simpel satu alam unggul desain minimal ala jepang ruang luas buka interior estetik lingkung asri tenang info lokasi 1 menit brimob sentolo 3 menit calon exit tol sentolo 3 menit rs nyi ageng serang 15 menit kawasan industri sentolo 30 menit malioboro 30 menit bandara yia spesial promo rumah siap huni full isi,https://picture.rumah123.com/r123-images/720x420-crop/customer/1968845/8b97d478c1825069f90f2a29aa7e3613.jpg,https://www.rumah123.com/properti/yogyakarta/hos18568574/
Perumahan Modern 2 Lantai Grand Str Palagan Jogja Sleman Yogyakar,"Ngaglik, Sleman",ngaglik sleman,1800000000,3,3,1,130,120,0.497206704,0.222222222,0.2,0,0.473913043,0.559808612,rumah modern 2 lantai grand str palagan jogja sleman yogyakar,rumah modern elit grand str palagan jogja ngaglik sleman yogyakarta 22 unit rumah modern kawasan elit palagan sleman yogyakarta kolam renang pribadi private pool panjang bulan november 2024 3 unit kavling siap bangun hadap utara 5 unit kavling siap bangun hadap selatan 4 unit kavling jual kavling 2 10 11 12 rumah modern rumah elit konsep modern clasic standart material bata merah material premium lain cipta daya tahan usia bangun tinggi tampailan estetik elegan lebih nyaman tahan nilai investasi 3 kamar tidur 3 kamar mandi semi furnished halaman belakang luas aktivitas luar ruang,https://www.rumah123.com/asset-core/images/official-project.png,https://www.rumah123.com/properti/sleman/hos18646752/
Perumahan Modern Kolam Renang Grand Str Palagan Jogja Slema Yogya,"Ngaglik, Sleman",ngaglik sleman,1790000000,3,3,1,135,120,0.494413408,0.222222222,0.2,0,0.495652174,0.559808612,rumah modern kolam renang grand str palagan jogja slema yogya,grand str palagan kawasan rumah elite diri atas 21 unit rumah fasum sangat pada bebas pilih kavling mana detail kavling luas tanah 127140 luas bangun 110 3 kamar tidur utama 3kamar mandi 1 kamar mandi 1 kamar art kamar mandi 2 balkon depan belakang kolam renang granit 80x80 super mewah carport 2 mobil jalan lingkung 8 meter hadap utara selatan kanopi total 21 rumah super premium cicil bunga 36 bulan gratis naik jadi shm free kanopi solar flat free ac magnet kawasan 5 menit mall sch 7 menit obelix village 10 menit sekolah al azhar 10 menit exit tol cukup tanda jadi 10 jt,https://picture.rumah123.com/r123-images/720x420-crop/customer/1901248/7dd07f13fe2014cec228233ab85f9552.jpg,https://www.rumah123.com/properti/sleman/hos17354968/
Rumah Mewah Klasik Modern Berkualitas Premium Dalam Mini Cluster 7 Unit Di Jalan Kaliurang Km 13 Sukoharjo Ngaglik Sleman,"Ngaglik, Sleman",ngaglik sleman,1280000000,3,2,1,146,100,0.351955307,0.222222222,0.1,0,0.543478261,0.464114833,rumah mewah klasik modern kualitas premium mini cluster 7 unit jalan kaliurang km 13 sukoharjo ngaglik sleman,rumah mewah klasik modern kualitas premium jalan kaliurang km 13 sukoharjo ngaglik sleman harga 128 milyar nego legalitas shm pbg akses mudah jalan lebar simpang maghnet kawasan dekat pppg seni dekat kampus uii dekat kampus baru isi dekat spbu mindi dekat sentra kuliner dekat smu ngaglik spesifikasi luas tanah 1465 luas bangun 100 3 kamar tidur 2 kamar mandi ruang tamu luas ruang keluarga dapur ruang makan ruang cuci jemur carport lega listrik 1300 watt air sumur bor taman depan taman samping taman belakang pagar kini hadap selatan yukk monggo yg mau survey bs damping senang hati info detail ayanti 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/8019ebd8ef5f57838a7e4619ac75c5e1.jpg,https://www.rumah123.com/properti/sleman/hos18706449/
Murah Banget Promo Desember Banting Harga Rumah Mewah Modern Limasan Dalam Mini Cluster Klidon Residence Di Jalan Kaliurang Km 13 Sukoharjo Ngaglik Sleman Dekat Kampus Uii,"Ngaglik, Sleman",ngaglik sleman,799000000,3,2,1,137,110,0.217597765,0.222222222,0.1,0,0.504347826,0.511961722,murah banget promo desember banting harga rumah mewah modern limas mini cluster klidon residence jalan kaliurang km 13 sukoharjo ngaglik sleman dekat kampus uii,rumah mewah modern limas mini cluster klidon residence jalan kaliurang km 13 sukoharjo ngaglik sleman sisa 1 unit hook akses jalan aspal lebar untuk kantor harga 925 juta nego legalitas shm pbg free bbn kanopi pagar maghnet kawasan dekat kampus uii dekat pppg seni dekat lapang klidon dekat rs gramedika dekat bagai fasum dekat bagai kuliner spesifikasi type 100 luas tanah 137 3 kamar tidur 2 kamar mandi ruang tamu ruang keluarga dapur luas carport 2 mobil listrik 1300 watt air sumur hadap selatan barat yukk monggo2 yg mau survey bs damping senang hati info detail ayanti 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/b2e60d97122f0221de41449f1f68be6f.jpg,https://www.rumah123.com/properti/sleman/hos18442932/
Dijual Rumah Murah Siap Huni Di Jakal Km 13 Dekat Uii,"Ngaglik, Sleman",ngaglik sleman,1270000000,3,2,1,147,100,0.349162011,0.222222222,0.1,0,0.547826087,0.464114833,jual rumah murah siap huni jakal km 13 dekat uii,rumah mewah murah klasik modern kualitas premium jalan kaliurang km 13 sukoharjo ngaglik sleman harga 128 milyar nego legalitas shm pbg akses mudah jalan lebar simpang maghnet kawasan dekat pppg seni dekat kampus uii dekat kampus baru isi dekat spbu mindi dekat sentra kuliner dekat smu ngaglik spesifikasi luas tanah 1465 luas bangun 100 3 kamar tidur 2 kamar mandi ruang tamu luas ruang keluarga dapur ruang makan ruang cuci jemur carport lega listrik 1300 watt air sumur bor taman depan taman samping taman belakang pagar kini hadap selatan info detail sgera hbungi,https://picture.rumah123.com/r123-images/720x420-crop/customer/1505363/332b5e044d07531f5d4424438a026df4.jpg,https://www.rumah123.com/properti/sleman/hos18680116/
Rumah Cantik 2 Lantai Dalam Perumahan Palagan One Gate System,"Sleman, Sleman",sleman sleman,1600000000,5,4,2,166,147,0.441340782,0.444444444,0.3,1,0.630434783,0.688995215,rumah cantik 2 lantai rumah palagan one gate system,jual rumah cantik 2 lantai rumah mewah villa green village lokasi sangat prestisus strategis jln palagan dekat bagai tempat makan kuliner sekolah wisata pusat perbelanjaandll sangat cocok huni lebih privacy aman one gate system spesifikasi ikut legalitas shm imb luas tanah 166 luas bangun 147 kamar tidur 5 kamar mandi 41 kmdalam ruang keluarga lt1 lt2 ruang tamu dapur 2 dapur bersihdapur bersih kolam ikan loundry room carport 2 mobil pagar rumah taman segera jadwal kunjung milik rumah untuk nyaman tempat tinggal keluarga bahagia,https://picture.rumah123.com/r123-images/720x420-crop/customer/2102432/15bff280c88d0c3ccc8bd049838325d0.jpg,https://www.rumah123.com/properti/sleman/hos18404908/
Rumah Mewah Modern Hook Furnished 2 Lantai Dekat Kampus Uii Shm,"Ngaglik, Sleman",ngaglik sleman,1350000000,3,3,1,125,88,0.37150838,0.222222222,0.2,0,0.452173913,0.406698565,rumah mewah modern hook furnished 2 lantai dekat kampus uii shm,rumah mewah modern 2 lantai fully furnished jl kaliurang km 13 dekat kampus uii lokasi banjarsari losari sukoharjo ngaglik sleman yogyakarta harga 135 m nego legalitas shm pbg spesifikasi hook luas tanah 88 luas bangun 125 3 kamar tidur 3 kamar mandi ruang tamu ruang keluarga dapur air sumur carport taman depan belakang hadap utara akses huni dekat kampus uii dekat pppg seni dekat lapang klidon dekat ponpes pandanaran,https://picture.rumah123.com/r123-images/720x420-crop/customer/2102432/a70f1fe02a5805ef1b2104fb39ec7d81.jpg,https://www.rumah123.com/properti/sleman/hos18561647/
Rumah Cantik Siap Huni Fullfurnish Luas Strategis Sudah Shm,"Sleman, Sleman",sleman sleman,1650000000,3,3,1,125,113,0.455307263,0.222222222,0.2,0,0.452173913,0.526315789,rumah cantik siap huni fullfurnish luas strategis shm,jual rumah siap huni full furnish lokasi sambiroto purwomartani dekat pamela 7 sangat strategis tengah kota jogja luas tanah 113 m2 luas bangun 125m kamar tidur 3 kamar mandi 3 1 kmr mandi dlm dapur meja makan ruang keluarga lt 2 ruang kelg lt 1 ruang tamu balkon service area carport 2 mbl motor ac 4 unit listrik 3500 sumur bor smart tv 2 bh kulkas kitchen set taman depan belakang legalitas shm imb lengkap,https://picture.rumah123.com/r123-images/720x420-crop/customer/2102432/6741b75ce9754fccc5612c06b69ed35f.jpg,https://www.rumah123.com/properti/sleman/hos18561634/
Rumah Cantik Dalam Perumahan Strategis Siap Huni Shm,"Ngaglik, Sleman",ngaglik sleman,1900000000,3,2,2,165,136,0.525139665,0.222222222,0.1,1,0.626086957,0.636363636,rumah cantik rumah strategis siap huni shm,rumah cantik 2 lantai strategis area jalan palagan prestisius rumah dgn one gate sistem security spesifikasi luas tanah 136m2 luas bangun 165m2 kamar tidur 3 kamar mandi 2 dapur ruang makan ruang keluarga ruang tamu carport fasilitas rumah akses jalan papas mobil pendopo warga rumah info area komplek rumah one gate sistem security 24jam 3 menit hyatt hotel mataram apartemen alana hotel 5 menit kampus ugm jogja city mall mlati apartemen sleman city hall 7 menit tentrem hotel 11 menit kampus upn amikom umby uii ekonomi ykpn tugu jogja harga tawar 19 milyar nego milik,https://picture.rumah123.com/r123-images/720x420-crop/customer/2102432/f0e995ff2d82f093c4f4debbf2fb81e4.jpg,https://www.rumah123.com/properti/sleman/hos18508362/
Rumah Minimalis Modern di Jakal Km 125Dekat Kampus Uii,"Ngaglik, Sleman",ngaglik sleman,535000000,2,1,1,80,36,0.143854749,0.111111111,0,0,0.256521739,0.157894737,rumah minimal modern jakal km 125dekat kampus uii,yuk survei jarang rumah baru harga 400 juta jual rumah minimal modern kondisi sedang proses bangun jakal km 125 sukoharjo ngaglik sleman yogyakarta 300 meter jlutama jl kaliurang lokasi mudah jangkau akses jalan mobil masuk lingkung nasionalis sangat cocok huni pribadi fasilitas dekat lokasi 300 meter jl kaliurang 2 menit rs gramedika 5 menit al azhar chairo 7 menit kampus uii padu 8 menit rs panti nugroho spesifikasi type 3680m2 kamar tidur 2kamar mandi 1rtamu dapur carpot taman legalitas shm pbg harga 535 juta nego tipis harga waktu waktu ubah,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/5489988893a49adbe8e328f79e046166.jpg,https://www.rumah123.com/properti/sleman/hos18147819/
Layout Keren Efisien Rumah Full Furnished Dekat Sleman City Hall,"Sleman, Yogyakarta",sleman yogyakarta,2200000000,4,4,1,145,123,0.608938547,0.333333333,0.3,0,0.539130435,0.574162679,layout keren efisien rumah full furnished dekat sleman city hall,jual 1 unit rumah baru siap huni bonus full furnished sardonoharjo ngaglik sleman kode core 1233 spesifikasi luas tanah 123 m2 luas bangun 145 m2 jumlah lantai 2 kamar tidur 4 kamar mandi 4 carport ruang keluarga tamu makan dapur listrik 2200 watt sumber air sumur hadap selatan tahun 2024 akses jalan raya aspal kapten haryadi papas 2 mobil lebih legalitas sertifikat shm imb harga 22 m unggul kawasan 1 km tuju jlkaliurang km 9 jlpalagan 5 menit sleman city hall 8 menit al azhar ringroad utara 10 menit kampus uii 13 menit pakuwon mall jogja 16 menit kampus ugm uny,https://picture.rumah123.com/r123-images/720x420-crop/customer/1776788/f04c0f4a4d4f8d7ed30cc4afdf8c8974.jpg,https://www.rumah123.com/properti/yogyakarta/hos18594426/
Grand Launching Minimalis Kekinian di Sleman Utara Dekat Uii,"Sleman, Yogyakarta",sleman yogyakarta,768000000,2,2,1,96,60,0.208938547,0.111111111,0.1,0,0.326086957,0.272727273,grand launching minimal kini sleman utara dekat uii,hadir buah rumah baru konsep minimal kini hargobinangun pakem sleman yogyakarta kode core ark 2 tipe 60 luas tanah 96 118 kamar tidur 2 kamar mandi 2 listrik 2200 watt harga mulai 768 jt daya tarik kawasan 800 meter kopi rolas 4 menit jalan kaliurang 5 menit universitas islam indonesia 8 menit sd smp alazhar cairo 9 menit kopi klotok 25 menit ringroad utara fasilitas upa one gate system security 24 jam akses jalan 6 meter public seating children playground,https://picture.rumah123.com/r123-images/720x420-crop/customer/1776788/b730355e5e77cba3bab42fae3f3656e3.jpg,https://www.rumah123.com/properti/yogyakarta/hos18577021/
Free Ajb Bbn Notaris Rumah Modern di Sleman Dekat Kampus Uii,"Sleman, Yogyakarta",sleman yogyakarta,1090000000,4,3,1,130,120,0.298882682,0.333333333,0.2,0,0.473913043,0.559808612,free ajb bbn notaris rumah modern sleman dekat kampus uii,jual 1 unit rumah baru siap huni konsep modern elegan jl kaliurang km 125 sleman yogyakarta kode core 1204 spesifikasi luas tanah 120 m2 luas bangun 130 m2 kamar tidur 4 kamar mandi 3 carport 2 mobil ruang keluarga tamu makan dapur listrik 2200 watt sumber air sumur hadap selatan tahun 2024 akses 2 mobil papas legalitas sertifikat shm imb free ajb bbn notaris harga 109 m nego daya tarik kawasan dekat pasar jangkang dekat kampus uii jakal dekat minimarket spbu dekat kopi klotok dekat sd smp al azhar cairo,https://picture.rumah123.com/r123-images/720x420-crop/customer/1776788/54f800e6770cb293f2a95fb44a07672d.jpg,https://www.rumah123.com/properti/yogyakarta/hos18380032/
Mewah Dengan Kolam Renang di Sleman Dekat Resto Jejamuran,"Sleman, Sleman",sleman sleman,3200000000,5,4,2,159,159,0.888268156,0.444444444,0.3,1,0.6,0.746411483,mewah kolam renang sleman dekat resto jejamuran,kode core 1041 spesifikasi luas tanah 159 180 m2 luas bangun 159 m2 jumlah unit 8 jumlah lantai 2 kamar tidur 5 kamar mandi 4 carport ruang keluarga tamu makan dapur listrik 4400 watt sumber air pdam hadap barat daya tahun 2023 akses 45 meter mobil 1 masuk fasilitas water heater 100 ltr legalitas sertifikat shm imb harga mulai 32 m include ppn unggul kawasan 190 meter jejamuran 950 meter jln magelang 5 menit pusat birokrasi sleman 7 menit sleman city hall 8 menit rsud sleman 13 menit jogja city mall 18 menit ugm,https://picture.rumah123.com/r123-images/720x420-crop/customer/1776788/8febe272ee82295c958d243c982745b8.jpg,https://www.rumah123.com/properti/sleman/hos18611428/
Rumah Kolam Renang Perumahan Grand Str Palagan Sleman Yogyakarta,"Ngaglik, Sleman",ngaglik sleman,1800000000,3,3,1,130,110,0.497206704,0.222222222,0.2,0,0.473913043,0.511961722,rumah kolam renang rumah grand str palagan sleman yogyakarta,rumah baru kolam renang rumah grand str palagan sleman yogyakarta cukup tanda jadi rp 10 juta rumah grand sleman town residence grand str tawar huni siap bangun furnished 21 unit huni premium rumah elit modern 2 lantai tawar luas lahan mulai 127 meter persegi akses jalan rumah 7 meter one gate sistem security 24 jam area datang sejuk tenang guyub nasionalis jalan rejodani palagan km 10 ngaglik sleman yogyakarta cicil bunga 24 bulan gratis naik jadi shm free kanopi solar flat free ac free private pool detail kavling kavling 1 7 10 luas tanah start 127 luas bangun 110 bangun 2 lantai kamar tidur 3 kamar mandi 1 kamar mandi luar 2 kamar tidur art kamar mandi art balkon 2 depan belakang kolam renang bulan november 2024 granit 80x80 super mewah carport 2 mobil jalan lingkung 8 meter hadap utara selatan kanopi magnet kawasan 5 menit mall sleman city hall 7 menit obelix village 10 menit sekolah islam al azhar 10 menit exit tol,https://www.rumah123.com/asset-core/images/official-project.png,https://www.rumah123.com/properti/sleman/hos17257382/
Jual Rumah Villa Private Pool Mewah di Tajem Sleman Yogyakarta,"Sleman, Yogyakarta",sleman yogyakarta,1270000000,3,2,1,120,81,0.349162011,0.222222222,0.1,0,0.430434783,0.373205742,jual rumah villa private pool mewah tajem sleman yogyakarta,rumah mewah 2 lantai private pool lokasi strategis sleman maguwoharjo yogyakarta luas bangun type 120 luas tanah 81m2 3 kamar tidur 2 kamar mandi private pool ruang tamu dapur service area carport balkon taman ruang cuci ruang jemur type cluster one gate sistem cctv security 24 jam akses lokasi strategis tajem maguwoharjo sleman yogyakarta akses mudah lancar 5 menit pasar tradisional 10 menit lottegrosir 10 menit kampus sanata dharma instiper unriyo 15 menit kampus ugm upn uii pakuwan mall dekat rencana exit tol dekat pusat kuliner rumah sakit bank sekolah info detail hubung nomor tera,https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/c14b907eb011414b6cccef2965d05bbc.jpg,https://www.rumah123.com/properti/yogyakarta/hos17922274/
Villa Private Pool Dekat Pusat Wisata Kota Jogja,"Ngaglik, Sleman",ngaglik sleman,299000000,1,1,1,36,36,0.077932961,0,0,0,0.065217391,0.157894737,villa private pool dekat pusat wisata kota jogja,villa privatepool spesifikasi fasilitas luxury bedroom bathroom kitchen set air conditioner smart tv 32 water heater wardrobe sofatablechair private pool token listrik 2200 wifi air bersih parking area cctv security 24 jam lobby legalitas lengkap shm imb cara bayar cash keras cash tahap non kpr harga launching 299 juta akses lokasi 5 menit kampus uii padu 10 menit kopi klotok 10 menit mall sleman city hall 15 menit kampus ugm 20 menit candi prambanan 20 menit malioboro,https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/a145b3b9849c7d9db59f2b9871ccf626.jpg,https://www.rumah123.com/properti/sleman/hos17967290/
Hunian Mewah Dengan Sky Balcony di Lokasi Prestisius Sleman,"Maguwoharjo, Yogyakarta",maguwoharjo yogyakarta,2240000000,4,3,2,150,120,0.620111732,0.333333333,0.2,1,0.560869565,0.559808612,huni mewah sky balcony lokasi prestisius sleman,kode atm lebih banding rumah kelas akses mudah jangkau segala arah rumah ramah anak taman main aman 24 jam ruang buka hijau spesifikasi bangun kualitas garansi 12 bulan lokasi dekat rencana pintu tol jogja solo akses lokasi mudah tuju bandara yia dukung agam fasilitas one gate system tembok keliling security cctv 24 jam jalan lingkung 7 meter taman buka public seating training ground children playground children swimming pool high speed internet by biznet smart lock lingkung kawasan 3 menit kampus upn uii ekonomi 5 menit kampus ykpn atmajaya 8 menit hartono mall 11 menit ambarrukmo plaza 13 menit kampus ugm uny 20 menit kampus uii padu jangan takut hubung core property consultant alam lebih 6 tahun jadi partner dalam cari huni baik jogja hubung untuk info deta,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/95c5532f8bb850cec1e5b066cd1a04e4.jpg,https://www.rumah123.com/properti/yogyakarta/hos18694528/
Rumah Mewah Klasik Modern  Berkualitas Premium Di Jalan Kaliurang Km 13 Sukoharjo Ngaglik Sleman,"Ngaglik, Sleman",ngaglik sleman,1280000000,3,2,1,146,100,0.351955307,0.222222222,0.1,0,0.543478261,0.464114833,rumah mewah klasik modern kualitas premium jalan kaliurang km 13 sukoharjo ngaglik sleman,rumah mewah klasik modern kualitas premium jalan kaliurang km 13 sukoharjo ngaglik sleman harga 128 milyar nego legalitas shm pbg akses mudah jalan lebar simpang maghnet kawasan dekat pppg seni dekat kampus uii dekat kampus baru isi dekat spbu mindi dekat sentra kuliner dekat smu ngaglik spesifikasi luas tanah 1465 luas bangun 100 3 kamar tidur 2 kamar mandi ruang tamu luas ruang keluarga dapur ruang makan ruang cuci jemur carport lega listrik 1300 watt air sumur bor taman depan taman samping taman belakang pagar kini hadap selatan yukk monggo yg mau survey bs damping senang hati info detail ayanti 085 7800 5xxx0,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/845c6b315450d2afc1afd2abaf084135.jpg,https://www.rumah123.com/properti/sleman/hos18118571/
