Variabel,Min,Q1,Median,Q3,Max,Mean,Std,Count
Harga,20000000.0,550000000.0,850000000.0,1500000000.0,3600000000.0,1101958398.6391065,716295194.0993618,7656
Luas_Tanah,21.0,91.0,115.0,150.0,251.0,124.08059038662486,43.92504641891878,7656
Luas_Bangunan,3.0,50.0,80.0,114.0,212.0,85.63597178683385,40.932048409344404,7656
Kamar,1,2.0,3.0,3.0,10,2.8590647857889238,0.9017676888095004,7656
WC,1,1.0,2.0,3.0,11,1.962251828631139,0.9694275535813078,7656
Parkir,1,1.0,1.0,2.0,2,1.2523510971786833,0.43438999478617013,7656
